stanovisko;orientace;bod;delka;uhel
4001;4002;1;44.602;150.389
4001;4002;2;33.191;160.534
4001;4002;3;27.374;121.782
4001;4002;4;24.702;88.171
4001;4002;5;26.575;81.020
4001;4002;6;22.656;68.746
4001;4002;7;30.698;56.517
4001;4002;8;33.282;36.702
4001;4002;9;45.922;34.944
4003;4004;10;23.064;367.654
4003;4004;11;11.417;345.657
4003;4004;12;17.474;297.970
4003;4004;13;19.785;253.667
4003;4004;14;20.537;200.742
4003;4004;17;48.215;382.792
4003;4004;16;31.806;381.235
4003;4004;15;14.401;378.864
4003;4004;51;5.754;205.195
4003;4004;52;6.550;255.372
4003;4004;53;16.323;322.229
4003;4004;27;23.964;225.848
4003;4004;26;18.772;235.654
4003;4004;25;12.880;223.083
4003;4004;24;10.464;194.796
4003;4004;23;48.281;185.220
4003;4004;22;46.604;169.407
4003;4004;21;21.893;156.380
4003;4004;20;10.538;46.303
4003;4004;19;24.675;9.299
4003;4004;18;46.089;399.041
4003;4004;35;41.064;5.327
4003;4004;34;41.307;377.680
4003;4004;32;5.481;343.063
4003;4004;33;12.889;62.767
4003;4004;31;21.622;146.132
4003;4004;30;16.622;195.813
4003;4004;28;51.665;188.562
4003;4004;29;53.306;166.532
